hotel_id,hotel_name,hotel_start,hotel_adress,hotel_price,hotel_price_sale,hotel_url,hotel_rating_average,hotel_review,hotel_num_of_review,hotel_active,hotel_image
20098765,Khách sạn Radisson Đà Nẵng (Radisson Hotel Danang),5.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km",234234,152730,https://www.agoda.com//vi-vn/radisson-hotel-danang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1,Trên cả tuyệt vời ,9.3,12,0 ,//pix8.agoda.net/hotelImages/19005900/0/ac43f3a47b60e8f8ddfa211eddba6fff.jpg?ca=28&ce=0&s=450x450
4965532,Khách sạn Balcona Đà Nẵng (Balcona Hotel Da Nang),4.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,7 km",280500,79115,"https://www.agoda.com//vi-vn/balcona-hotel-da-nang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=2,16,-1&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1",Tuyệt vời ,8.7,1550,0 ,//pix8.agoda.net/hotelImages/4965532/-1/d147e4337eef8c92426991cefa5351eb.jpg?ca=7&ce=1&s=450x450
2486094,Khách sạn Dana Marina (Dana Marina Boutique Hotel),4.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km",197421,42618,"https://www.agoda.com//vi-vn/dana-marina-boutique-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=9,16,-1&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1",Tuyệt vời ,8.2,1480,0 ,//pix8.agoda.net/hotelImages/2486094/-1/b5d9b23f063e07ea6f8f7855e9ce2cd2.jpg?ca=7&ce=1&s=450x450
2640452,Paris Deli Danang Beach Hotel,4.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km",1329665,0,https://www.agoda.com//vi-vn/paris-deli-danang-beach-hotel_2/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1,Tuyệt vời ,8.7,2422,0 ,//pix8.agoda.net/hotelImages/2640452/-1/2eaf9a6d68a3ea4a4b6ff1fda4744a52.jpg?ca=23&ce=0&s=450x450
237529,Khu nghỉ dưỡng TIA Wellness - Bao gồm spa (TIA Wellness Resort - Spa Inclusive),5.0,"Hòa Hải, Đà Nẵng - cách trung tâm 4,7 km",1600001,524364,"https://www.agoda.com//vi-vn/fusion-maia-resort-all-spa-inclusive/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=16,16,-1,-1&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1",Tuyệt vời ,8.8,1315,0 ,//pix8.agoda.net/hotelImages/237529/-1/494388be501eb7f65c75111de089a2bb.jpg?ca=20&ce=1&s=450x450
149036,Khách Sạn Mường Thanh Luxury Sông Hàn (Muong Thanh Luxury Song Han Hotel),5.0,"Hải Châu, Đà Nẵng - cách trung tâm 0,1 km",259000,68913,"https://www.agoda.com//vi-vn/oneopera-danang-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=9,9,16,16,-1,-1&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1",Tuyệt vời ,8,878,0 ,//pix8.agoda.net/hotelImages/149036/-1/eb1f0c5d910a31c8b5c12d3d8875f4ca.jpg?ca=11&ce=1&s=450x450
10953,Furama Resort Danang,5.0,"Hòa Hải, Đà Nẵng - cách trung tâm 3,6 km",5384932 ,538493,"https://www.agoda.com//vi-vn/furama-resort-danang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=16,16&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1",Tuyệt vời ,8.5,2472,0 ,//pix8.agoda.net/hotelImages/109/10953/10953_16030216470040397599.jpg?ca=6&ce=1&s=450x450
3582444,The Herriott Hotel & Suite Danang,3.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 1,4 km",222000,34240,"https://www.agoda.com//vi-vn/the-herriott-hotel-suite-danang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=7,1,1,16,16&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1",Trên cả tuyệt vời ,9.1,2733,0 ,//pix8.agoda.net/hotelImages/3582444/-1/2d8f768a0eda73078ed4886e281a1d19.jpg?ca=6&ce=1&s=450x450
26046170,Darwin Hotel Apartment,0.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,3 km",37763,30833,https://www.agoda.com//vi-vn/darwin-hotel-apartment/hotel/all/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1,Tuyệt vời ,8.8,40,0 ,//q-xx.bstatic.com/xdata/images/hotel/max500/347506868.jpg?k=9096d5f7f3e2870bb4bac7096b91d462af8ed62892b5cbacf6323f8e25c366b7&s=450x450
15854209,Haian Riverfront Hotel Da Nang,4.0,"Hải Châu, Đà Nẵng - Nội thành",852460 ,85246,"https://www.agoda.com//vi-vn/haian-riverfront-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=2,16&los=1&searchrequestid=c3590011-1df4-40bc-9f9b-f0701917bcb1",Trên cả tuyệt vời ,9.1,374,0 ,//pix8.agoda.net/hotelImages/15854209/-1/18646d85b8cd16f98d68389ce7790fb6.jpg?ca=14&ce=1&s=450x450
