hotel_id,address,describe,img,room_count,select_count_sum
20098765,"170 Võ Nguyên Giáp, Phước Mỹ, Đà Nẵng, Việt Nam, 550000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 4.5 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng bể bơi trong nhà, mát-xa và bể bơi ngoài trời ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/19005900/470340510/9709e483f4a1b751f785c1521026d3bc.jpg?ca=25&ce=0&s=208x117&ar=16x9,//pix8.agoda.net/hotelImages/19005900/470340510/2b847d943e38befc3381be109c85e1c5.jpg?ca=25&ce=0&s=100x75,//pix8.agoda.net/hotelImages/19005900/470340510/2a92fa84d86e3b476d3391c162b62729.jpg?ca=25&ce=0&s=100x75,",6,38
2486094,"47 - 49 Đường Võ Văn Kiệt, Phước Mỹ, Phước Mỹ, Đà Nẵng, Việt Nam, 70000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 4 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng bể bơi trong nhà, bể bơi ngoài trời và phòng tập ngay trong khuôn viên.",",//q-xx.bstatic.com/xdata/images/hotel/max300/125835179.jpg?k=716d7c31b790c0c8752038522a03195ff84c87b460a9a007481df07df0eabf10&o=,//q-xx.bstatic.com/xdata/images/hotel/max300/125835432.jpg?k=e04cbfdc45159fba9967fc02f447d91db1dfed020a31fd10b0d5329aa4044d85&o=,//q-xx.bstatic.com/xdata/images/hotel/max300/125835191.jpg?k=60f571f05e9c8368262467db08132c72505265928492be28d417893aada7b55e&o=,",9,54
4965532,"288 đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành Phố Đà Nẵng., Phước Mỹ, Đà Nẵng, Việt Nam, 550000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 4 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng bể bơi trong nhà, mát-xa và bể bơi ngoài trời ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/4965532/-1/d147e4337eef8c92426991cefa5351eb.jpg?ca=7&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/4965532/-1/7cc725ce6e975d90ad2716517ee9c91d.jpg?ca=7&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/4965532/-1/cc1e9b4d8d753f9bc0dc3849891a2fe4.jpg?ca=7&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/4965532/-1/fc2270958a90cab05443bccdbf11e97d.jpg?ca=0&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/4965532/-1/57d098bfcad69ca1ed98fbd640707dd0.jpg?ca=7&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/4965532/-1/286580418d3d0af99da4591dd0b8c731.jpg?ca=7&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/4965532/-1/69488d6fb08244eb17924271cfbfe143.jpg?ca=9&ce=1&s=1024x768,",0,0
2640452,"236 Võ Nguyên Giáp, Sơn Trà, Phước Mỹ, Đà Nẵng, Việt Nam, 550000","Hãy để chuyến đi của quý khách có một khởi đầu tuyệt vời khi ở lại khách sạn này, nơi có Wi-Fi miễn phí trong tất cả các phòng. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 4 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng mát-xa, bể bơi ngoài trời và bồn tắm nước nóng ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/2640452/-1/2eaf9a6d68a3ea4a4b6ff1fda4744a52.jpg?ca=23&ce=0&s=1024x768,//pix8.agoda.net/hotelImages/2640452/-1/902e177602035f4bf7381230628f7ca6.jpg?ca=28&ce=0&s=1024x768,//pix8.agoda.net/hotelImages/2640452/-1/2675c8cc95459ec2dd3a5a29b082d127.jpg?ca=9&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/2640452/-1/3bc074507f1e26b5c37a3111ce351b39.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/2640452/-1/ed1f7c3df49e61b4c450de5abced607b.jpg?ca=9&ce=1&s=1024x768,//q-xx.bstatic.com/xdata/images/hotel/840x460/325230302.jpg?k=c5de215567da38ab8495fda3cab97316cb2188d0af7174880ac6a1714cb38836&o=,//pix8.agoda.net/hotelImages/2640452/-1/b78004b6abfa4b6a4039e3e7d32d274b.jpg?ca=9&ce=1&s=1024x768,",0,0
149036,"115 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu , Hải Châu, Đà Nẵng, Việt Nam, 550000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Hải Châu của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Đừng rời đi trước khi ghé thăm The Marble Mountains nổi tiếng. Được xếp hạng 5 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng mát-xa, bồn tắm nước nóng và xông khô ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/149036/-1/f451e3666b4a8398c3cb5597c73056eb.jpg?ca=8&ce=1&s=208x117&ar=16x9,//pix8.agoda.net/hotelImages/149036/-1/b74d7f645a0329b76f7ccd390103bd1a.jpg?ca=8&ce=1&s=100x75,//pix8.agoda.net/hotelImages/149036/-1/0cfd11e86a805a3efea43cddd34f4def.jpg?ca=8&ce=1&s=100x75,",4,14
2190907,"270 Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành Phố Đà Nẵng, Phước Mỹ, Đà Nẵng, Việt Nam, 550000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 5 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng bể bơi trong nhà, mát-xa và bể bơi ngoài trời ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/219/2190907/2190907_17080416040054901823.jpg?ca=6&ce=1&s=208x117&ar=16x9,//pix8.agoda.net/hotelImages/219/2190907/2190907_17060214200053429127.jpg?ca=6&ce=1&s=100x75,//pix8.agoda.net/hotelImages/219/2190907/2190907_17060214200053429125.jpg?ca=6&ce=1&s=100x75,",1,3
7243073,"36 - 38 Lâm Hoành, Phước Mỹ, Đà Nẵng, Việt Nam, 550000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 4.5 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng mát-xa, bể bơi ngoài trời và bồn tắm nước nóng ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/7243073/-1/2c23bff22987ee68884d4f4996df672a.png?ca=9&ce=1&s=1024x768,//q-xx.bstatic.com/xdata/images/hotel/840x460/203698805.jpg?k=7a17ce51bcfb6d9da16f84052012389c8896a26a84c71562001f1e2c2619ab77&o=,//pix8.agoda.net/hotelImages/7243073/-1/5747fd491ba7d56aebf05c43c2ae6ebc.jpg?ca=11&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/7243073/-1/93b1d3931abcda37d3552e0625f3ed65.jpg?ca=12&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/7243073/-1/565378d1a83e5e77c179531432212ce1.jpg?ca=11&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/7243073/-1/ff08cfbee6e23356bd568a3e2e958122.jpg?ca=11&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/7243073/-1/e3d2f3a13bd952caa9be367ccfba6d2d.jpg?ca=11&ce=1&s=1024x768,",0,0
3122052,"Lot 133.134 Tran Bach Dang Str, Ngu Hanh Son ward, Da Nang, Phước Mỹ, Đà Nẵng, Việt Nam, 59000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 4 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng bể bơi ngoài trời, bồn tắm nước nóng và xông khô ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/3122052/-1/7fabd5dd57983406454deeaf7d88b5d5.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/3122052/-1/f0c1e827af7cca4ce4905881dc603bcb.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/3122052/-1/5878bcb0080a2e1dd2774512d15f81c6.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/312/3122052/3122052_19121710180085950631.jpg?ca=9&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/3122052/-1/73b491faf81c5e7d156d6a83ba7fbf47.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/3122052/-1/1b636dea0259c45d7235f066a212eecc.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/3122052/-1/1e39e28eb4aad8e8ac6cc1bc2a56578d.jpg?ca=6&ce=1&s=1024x768,",0,0
15949242,"234 Vo Nguyen Giap Street, Phuoc My Ward, Son Tra District, Da Nang, Viet Nam, Phước Mỹ, Đà Nẵng, Việt Nam, 550000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 4 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng mát-xa, bể bơi ngoài trời và bồn tắm nước nóng ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/15949242/-1/cfbdb5b894d1f5808b37b7b173728319.jpg?ca=23&ce=0&s=208x117&ar=16x9,//pix8.agoda.net/hotelImages/15949242/-1/c9163f31e6326f04fa5b91d32e27b3d9.jpg?ca=12&ce=1&s=100x75,//pix8.agoda.net/hotelImages/15949242/-1/3009a92e14d5a3b3f3d123292f1f52f8.jpg?ca=23&ce=0&s=100x75,",1,3
3582444,"7 & 8 Lê Văn Quý, Sơn Trà, Đà Nẵng, Phước Mỹ, Đà Nẵng, Việt Nam, 550000","Đỗ xe và Wi-Fi luôn miễn phí, vì vậy quý khách có thể giữ liên lạc, đến và đi tùy ý. Nằm ở vị trí trung tâm tại Phước Mỹ của Đà Nẵng, chỗ nghỉ này đặt quý khách ở gần các điểm thu hút và tùy chọn ăn uống thú vị. Hãy nhớ dành một chút thời gian để thăm thú The Marble Mountains cũng như My Khe Beach gần đó. Được xếp hạng 3 sao, chỗ nghỉ chất lượng cao này cho phép khách nghỉ sử dụng bể bơi trong nhà, bể bơi ngoài trời và nhà hàng ngay trong khuôn viên.",",//pix8.agoda.net/hotelImages/3582444/-1/2d8f768a0eda73078ed4886e281a1d19.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/3582444/-1/d9eeb70f5ed907e50138292e880e154b.jpg?ca=9&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/3582444/-1/82a69783c872d0f33ba6821a9381d87a.jpg?ca=9&ce=1&s=1024x768,//q-xx.bstatic.com/xdata/images/hotel/840x460/121081183.jpg?k=3b539e7ed55e1e382b50d3f05af1039bc5896b1931847e6697c68153422a1462&o=,//pix8.agoda.net/hotelImages/358/3582444/3582444_17112918240060038430.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/358/3582444/3582444_17112918200060038282.jpg?ca=6&ce=1&s=1024x768,//pix8.agoda.net/hotelImages/358/3582444/3582444_17112918200060038283.jpg?ca=6&ce=1&s=1024x768,",0,0
